RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
21,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30401,2004,UGSYFREKU3,        -23.667,         29.600,     1250,2004333,2004334,2004340,2005032,2005089,2005089,2005,-99,5719,854,854,0,1287,.1933437,441,73.58133,.1492631,2.485743,-99.00000,-99,-99,-99,-99,-99,0,0,231,252,140,112,2,64,0,1,40,0,63,2,6,32,54,12,.8471318E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9239,9239,0,0,92524,92524,311.2734,.000000,24.93978,23.07087,40.81927,-99.00000,3.724379,3.445287,6.095742,-99.00000,142.9673,90.77287,21.35000,13.55556,121,28.65207,16.66033,16.53471,12.94627,380.0000,229.3000,247.8749,107.8708,140.0978,1,
22,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30501,2005,UGSYFREKU3,        -23.667,         29.600,     1250,2005333,2005334,2005341,2006035,2006100,2006100,2006,-99,9069,3662,3662,0,5088,.3008786,1217,202.8478,.4037694,1.958495,-99.00000,-99,-99,-99,-99,-99,0,0,369,353,205,148,7,49,47,1,40,0,82,1,6,49,70,45,.7539981E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9222,9222,0,0,92284,92284,463.3359,.000000,24.59170,26.09890,44.19147,-99.00000,9.929502,10.53807,17.84339,-99.00000,226.7354,110.6026,91.55000,44.65854,131,26.47099,15.94733,15.60687,12.83801,380.0000,368.8000,347.5019,143.2872,205.2300,1,
23,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30601,2006,UGSYFREKU3,        -23.667,         29.600,     1250,2006333,2006334,2006341,2007036,2007090,2007090,2007,-99,5675,926,926,0,1523,.1335882,693,115.5403,.1631931,2.565467,-99.00000,-99,-99,-99,-99,-99,0,0,171,204,109,95,0,40,13,1,40,0,61,1,8,30,53,13,.7266618E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9240,9240,0,0,92517,92517,298.6953,.000000,33.26380,28.77365,52.11783,-99.00000,5.427901,4.695210,8.504453,-99.00000,141.8701,93.02959,23.15000,15.18033,121,29.56943,15.41405,17.39587,12.93293,380.0000,170.6000,197.2223,88.80022,108.8841,1,
24,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30701,2007,UGSYFREKU3,        -23.667,         29.600,     1250,2007333,2007334,2007341,2008040,2008109,2008109,2008,-99,8644,2774,2774,0,3839,.3197660,867,144.5719,.3209029,2.532326,-99.00000,-99,-99,-99,-99,-99,0,0,378,374,205,169,24,30,38,1,40,0,78,0,6,44,65,31,.8489551E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9227,9227,0,0,92367,92367,421.5078,.000000,22.87268,23.37782,42.17413,-99.00000,7.340567,7.502684,13.53501,-99.00000,216.0896,110.8152,69.35000,35.56410,140,26.37572,14.09214,16.09857,12.75023,380.0000,377.9000,369.7343,166.0006,204.9499,1,
25,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30801,2008,UGSYFREKU3,        -23.667,         29.600,     1250,2008333,2008334,2008340,2009030,2009091,2009091,2009,-99,8703,2466,2466,0,3617,.2848682,866,144.2577,.2833201,2.354541,-99.00000,-99,-99,-99,-99,-99,0,0,318,388,255,133,4,6,7,1,40,0,75,0,5,40,56,23,.7230931E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9233,9233,0,0,92506,92506,372.9375,.000000,27.36716,22.95389,34.15926,-99.00000,7.754718,6.504180,9.679317,-99.00000,217.5689,116.0367,61.65000,32.88000,123,28.02032,16.70162,21.32602,12.92773,380.0000,318.0000,379.1408,125.6104,254.7700,1,
26,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF30901,2009,UGSYFREKU3,        -23.667,         29.600,     1250,2009333,2009334,2009340,2010034,2010091,2010091,2010,-99,7176,1633,1633,0,2762,.1792446,911,151.8749,.2276238,1.926022,-99.00000,-99,-99,-99,-99,-99,0,0,219,275,181,94,13,18,0,1,40,0,65,0,7,33,49,17,.6746832E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9240,9240,0,0,92573,92573,315.5859,.000000,34.13759,26.80762,39.71196,-99.00000,7.768791,6.100688,9.037368,-99.00000,179.3930,110.3957,40.82500,25.12308,122,29.52541,15.50246,21.79262,12.92360,380.0000,210.2000,267.6747,87.07587,180.6942,1,
27,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF31001,2010,UGSYFREKU3,        -23.667,         29.600,     1250,2010333,2010334,2010340,2011038,2011095,2011095,2011,-99,4286,525,525,0,702,.1868974,281,50.83995,.1224553,2.119372,-99.00000,-99,-99,-99,-99,-99,0,0,342,255,129,126,19,112,44,1,40,0,59,3,6,29,41,7,.1134737,-99,-99,-99,-99,-99,-99,-99,-99,0,9244,9244,0,0,92646,92646,264.5703,.000000,12.60329,17.32142,33.25391,-99.00000,1.543664,2.121546,4.072974,-99.00000,107.1594,72.65047,13.12500,8.898305,126,28.64365,15.02619,21.82619,12.88588,380.0000,340.1000,247.4611,118.9507,128.8985,1,
28,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF31101,2011,UGSYFREKU3,        -23.667,         29.600,     1250,2011333,2011334,2011341,2012035,2012090,2012090,2012,-99,3321,401,401,0,505,.1389488,288,53.20456,.1205990,2.019781,-99.00000,-99,-99,-99,-99,-99,0,0,85,155,92,63,1,18,0,1,40,0,47,0,18,26,35,7,.6250450E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9246,9246,0,0,92678,92678,256.3594,.000000,39.16242,21.88727,35.92675,-99.00000,4.728774,2.642838,4.338074,-99.00000,83.02433,70.65900,10.02500,8.531915,121,30.14214,14.88264,22.17934,12.93293,380.0000,84.80000,151.7308,59.34846,92.43733,1,
29,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF31201,2012,UGSYFREKU3,        -23.667,         29.600,     1250,2012333,2012334,2012341,2013035,2013098,2013098,2013,-99,8620,2282,2282,0,3560,.2603815,877,146.0967,.2647804,1.967768,-99.00000,-99,-99,-99,-99,-99,0,0,413,382,246,135,22,70,25,1,40,0,71,1,6,38,54,22,.7123931E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9235,9235,0,0,92550,92550,362.3516,.000000,20.88726,23.05198,34.97738,-99.00000,5.529441,6.102502,9.259489,-99.00000,215.5043,121.4109,57.05000,32.14085,130,28.83462,14.40308,21.29847,12.86166,380.0000,412.7000,373.9450,128.4942,246.4499,1,
30,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF31301,2013,UGSYFREKU3,        -23.667,         29.600,     1250,2013333,2013334,2013342,2014038,2014101,2014101,2014,-99,7076,1599,1599,0,2364,.2645438,605,100.7514,.2259899,2.145247,-99.00000,-99,-99,-99,-99,-99,0,0,428,378,205,173,4,130,2,1,40,0,64,4,5,34,47,15,.1463530,-99,-99,-99,-99,-99,-99,-99,-99,0,9239,9239,0,0,92621,92621,328.4453,.000000,16.54906,18.99135,34.47011,-99.00000,3.739477,4.291346,7.788976,-99.00000,176.9094,110.5684,39.97500,24.98438,132,27.57878,14.67727,20.15909,12.82834,380.0000,427.5999,372.6104,167.9700,205.2901,1,
